Author Name,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index,Class
Jnos Pintz,643,14763,77,191.7272727,0.071302995,49,110,12,14,10196,92.5,68,78,49.64038713,3528,150,87.28,85.58621384,3,49,24.63498795,2.645751311,53.13283208,16.26363205,-166.5447402,-2.445021645,224,0.076205288,14.61063198,0.636363636,14.52604887,121.5030864,58.84088714,0.569767442,37.64015152,38,111,643,17.15,37.64015152,37.85729178,37.90726817,643,208.0816327,100.9752445,22.95956454,67.32384422,7795,73.41661937,28.98879094,80,47,1086.501922,3.373250389,8866.623813,394.3007234,52.06302318,4896.858974,37,26,14,17.15,50.01010101,25,1
Kaisa Matom?ki,647,3908,87,44.91954023,0.018642548,31,55,10,10,2504,60.5,42,47,30.50695749,1120,89,23.35,43.2087954,0,32,16.36138708,3.741657387,40.27635619,24.59058342,-453.5056295,-2.733445096,82,0.047913447,2.152249996,0.356321839,10.35467217,62.51399843,31.6641227,0.356321839,22.45,23,56,647,13.16438356,22.45,22.78158845,22.87615148,647,80.77419355,50.03998401,6.040185471,43.30704331,1543,41.29164564,20.20138338,38,25,1619.086812,2.99381762,2424.100733,464.3224983,11.15212685,1017.723404,22,24,15,13.16438356,32,32,1
 JP May,650,13290,113,117.6106195,0.062814605,45,110,15,17,10206,129,66,78,44.02722676,3630,120,88.76,88.85381252,2,47,24.53477109,3.872983346,61.89616253,15.23702032,-181.986456,-1.74176657,136,0.069230769,8.142273656,0.398230088,19.55213904,115.2822623,73.68344454,0.333333333,35.4,37,111,650,20.66326531,35.4,36.86755238,36.90248307,650,226.8,101.0247494,20.44615385,76.1905506,8181,70.3562364,30.49339172,84,45,391.2951678,2.301538462,8342.088095,412.902381,68.96792467,4719.807692,36,17,9,20.66326531,46,46,0
CK Chui,659,24805,40,620.125,0.11406171,57,151,14,18,20221,119,79,92,52.80466454,8798,150,175.6,124.2859606,5,57,28.58574297,1,68.42168918,13.09816569,-119.8468051,-1.538745858,212,0.086494689,53.63751897,1.425,22.51978417,157.4960317,68.30882255,0.93442623,38.66666667,41,152,659,24.42857143,38.66666667,40.91626982,40.93549688,659,354.754386,142.2005626,37.64036419,82.35897037,16972,92.77391875,37.31525923,128,49,844.5623592,2.531107739,17424.15714,341.5047619,166.0396606,10515.26087,40,21,11,24.42857143,58.02608696,14.75,0
Paul D. Seymour,671,77721,85,914.3647059,0.5909084,88,274,18,24,61244,157,83,401,153.1018754,8559,449,363.07,190.5439582,10,176,42.13202779,1,55.68765199,9.963845035,-31.74946282,-3.146824586,589,0.131147541,119.9166827,1.035294118,22.64978903,278.7848633,124.1339091,0.862745098,96.63268398,126,275,671,38.52736318,96.63268398,63.91487765,63.94893272,671,695.9545455,247.4752513,115.828614,117.541482,53500,155.2803916,58.22720979,202,87,2287.126987,3.885245902,43011.2663,346.119544,221.3872876,11740.64838,63,25,11,38.52736318,89.01129944,53,1
JK HALE,679,14066,59,238.4067797,0.060928701,62,109,14,18,9766,129,87,96,55.43884596,4294,150,64.03,86.29020802,1,63,27.3626592,6.164414003,42.54230058,27.3283094,-241.8313664,-2.368542109,183,0.091310751,21.76910212,1.050847458,33.78651685,118.6001686,64.92983392,0.746987952,49.28333333,52,110,679,29.79844961,49.28333333,51.71364087,51.81508602,679,157.516129,98.82307423,20.71575847,89.43153806,5922,82.20705566,42.98259969,78,62,371.7284055,1.835051546,8400.42619,484.4190476,48.04022516,3824.625,51,18,7,29.79844961,63,63,0
E Sontag,685,41188,119,346.1176471,0.175301654,90,197,21,32,33663,227,128,148,75.42981278,10965,213,218.62,157.8036755,12,91,39.68008629,7.141428429,62.06419345,19.66592211,-111.7437118,-1.54426567,264,0.131386861,45.47531129,0.756302521,42.66435986,202.9482693,93.65560645,0.647482014,66.36666667,69,198,685,38.20754717,66.36666667,68.85266378,68.88773429,685,374.0333333,183.4747939,60.12846715,142.933551,25563,133.1540461,58.64025277,155,87,1502.088726,2.109489051,26179.81667,428.6666667,268.9839986,15545.06757,68,38,17,38.20754717,91.00552486,46,0
RV Ozmidov,686,3576,42,85.14285714,0.030307139,13,54,7,6,2372,50,14,73,35.28022034,453,100,23.72,39.62322551,0,28,12.27080309,2.236067977,51.87360179,4.725950783,-202.2930649,-5.536398467,50,0.018950437,1.613494377,0.30952381,6.675149701,59.79966555,42.23150483,0.196969697,15.91666667,25,55,686,5.451612903,15.91666667,12.92705167,12.95973154,686,182.4615385,48.70318265,5.212827988,25.49509757,2203,26.4952826,8.418489635,41,12,90.07731446,1.947521866,2206.933333,448.7,6.798172583,392.3150685,12,6,3,5.451612903,14,51,0
Neil Robertson,689,110365,105,1051.095238,0.785588702,93,328,19,29,90225,177.5,91,435,164.6163763,17474,498,586.58,239.7999166,18,188,46.30941272,1,63.38422507,7.836723599,-21.51859738,-2.332688177,647,0.134978229,141.8749741,0.885714286,28.50400356,332.2122815,230.964386,0.762295082,96.68696311,145,329,689,32.15241636,96.68696311,72.93028041,72.95302859,689,970.1612903,300.3747659,160.1814224,128.4815162,81576,174.6539436,54.68249008,270,93,2520.363484,3.262699565,75575.75221,386.7101486,396.4089271,17440.38621,72,28,13,32.15241636,94.00534759,89,1
N Ahmad,690,139778,37,3777.783784,0.586329411,194,333,25,49,89847,343,265,286,175.2349909,41375,609,326.89,257.1050369,80,194,62.64361311,18.1934054,37.49159381,26.92555338,-33.25702185,-3.434526014,690,0.28115942,1062.159499,5.243243243,46.62486938,373.868961,106.8040855,4.217391304,102.6107143,91,334,690,43.01257143,102.6107143,90.87140204,90.94205097,690,463.128866,299.7448915,202.5768116,257.9573608,52211,254.169235,91.34790012,137,164,10311.10725,4.160869565,36364.9881,189.0297619,366.7333915,35415.85315,90,91,44,43.01257143,195.0025707,97.5,0
